player_match_sk,playermatch_key,match_id,player_id,player_name,dob,batting_hand,bowling_skill,country_name,role_desc,player_team,opposit_team,season_year,is_manofthematch,age_as_on_match,isplayers_team_won,batting_status,bowling_status,player_captain,opposit_captain,player_keeper,opposit_keeper,dob_cleaned
12738,,335989,40,G Gambhir,10/14/1981,Left-hand Bat,Legbreak,India,Player,Delhi Daredevils,Rajasthan Royals,2008,,27,,Blank,Blank,V Sehwag,Sk Warne,Kd Karthik,M Rawat,1981-10-14
12743,,335989,89,R Bhatia,10/22/1979,Right-hand Bat,Right-arm Medium-fast,India,Player,Delhi Daredevils,Rajasthan Royals,2008,,29,,Blank,Blank,V Sehwag,Sk Warne,Kd Karthik,M Rawat,1979-10-22
12744,,335989,90,Mf Maharoof,9/7/1984,Right-hand Bat,Right-arm Fast-medium,India,Player,Delhi Daredevils,Rajasthan Royals,2008,,24,,Blank,Blank,V Sehwag,Sk Warne,Kd Karthik,M Rawat,1984-09-07
12749,,335989,30,T Kohli,12/17/1988,Right-hand Bat,Right-arm Medium,India,Player,Rajasthan Royals,Delhi Daredevils,2008,,20,,Blank,Blank,Sk Warne,V Sehwag,M Rawat,Kd Karthik,1988-12-17
12750,,335989,31,Yk Pathan,11/17/1982,Right-hand Bat,Right-arm Offbreak,India,Player,Rajasthan Royals,Delhi Daredevils,2008,,26,,Blank,Blank,Sk Warne,V Sehwag,M Rawat,Kd Karthik,1982-11-17
12751,,335989,32,Sr Watson,6/17/1981,Right-hand Bat,Right-arm Fast-medium,Australia,Player,Rajasthan Royals,Delhi Daredevils,2008,,27,,Blank,Blank,Sk Warne,V Sehwag,M Rawat,Kd Karthik,1981-06-17
12755,,335989,36,M Rawat,10/25/1985,Right-hand Bat,N/a,India,Keeper,Rajasthan Royals,Delhi Daredevils,2008,,23,,Blank,Blank,Sk Warne,V Sehwag,M Rawat,Kd Karthik,1985-10-25
12757,,335989,38,Sk Warne,9/13/1969,Right-hand Bat,Legbreak Googly,Australia,Captain,Rajasthan Royals,Delhi Daredevils,2008,,39,,Blank,Blank,Sk Warne,V Sehwag,M Rawat,Kd Karthik,1969-09-13
12761,,335990,44,St Jayasuriya,6/30/1969,Left-hand Bat,Slow Left-arm Orthodox,Sri Lanka,Player,Mumbai Indians,Royal Challengers Bangalore,2008,,39,,Blank,Blank,Harbhajan Singh,R Dravid,L Ronchi,Mv Boucher,1969-06-30
12762,,335990,45,Dj Thornely,10/1/1978,Right-hand Bat,Right-arm Medium,Australia,Player,Mumbai Indians,Royal Challengers Bangalore,2008,,30,,Blank,Blank,Harbhajan Singh,R Dravid,L Ronchi,Mv Boucher,1978-10-01
12765,,335990,48,Am Nayar,10/8/1983,Left-hand Bat,Right-arm Medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,,25,,Blank,Blank,Harbhajan Singh,R Dravid,L Ronchi,Mv Boucher,1983-10-08
12766,,335990,49,Sm Pollock,7/16/1973,Right-hand Bat,Right-arm Fast-medium,South Africa,Player,Mumbai Indians,Royal Challengers Bangalore,2008,,35,,Blank,Blank,Harbhajan Singh,R Dravid,L Ronchi,Mv Boucher,1973-07-16
12767,,335990,50,Harbhajan Singh,7/3/1980,Right-hand Bat,Right-arm Offbreak,India,Captain,Mumbai Indians,Royal Challengers Bangalore,2008,,28,,Blank,Blank,Harbhajan Singh,R Dravid,L Ronchi,Mv Boucher,1980-07-03
12768,,335990,72,Ma Khote,4/22/1980,Right-hand Bat,Right-arm Medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,,28,,Blank,Blank,Harbhajan Singh,R Dravid,L Ronchi,Mv Boucher,1980-04-22
12770,,335990,80,Ds Kulkarni,12/10/1988,Right-hand Bat,Right-arm Medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,,20,,Blank,Blank,Harbhajan Singh,R Dravid,L Ronchi,Mv Boucher,1988-12-10
12775,,335990,12,B Akhil,10/7/1977,Right-hand Bat,Right-arm Medium-fast,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,,31,,Blank,Blank,R Dravid,Harbhajan Singh,Mv Boucher,L Ronchi,1977-10-07
12777,,335990,15,Z Khan,10/7/1978,Right-hand Bat,Left-arm Fast-medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,,30,,Blank,Blank,R Dravid,Harbhajan Singh,Mv Boucher,L Ronchi,1978-10-07
12780,,335990,52,Lrpl Taylor,3/8/1984,Right-hand Bat,Right-arm Offbreak,New Zealand,Player,Royal Challengers Bangalore,Mumbai Indians,2008,,24,,Blank,Blank,R Dravid,Harbhajan Singh,Mv Boucher,L Ronchi,1984-03-08
12782,,335991,53,Ac Gilchrist,11/14/1971,Left-hand Bat,Right-arm Offbreak,Australia,Keeper,Deccan Chargers,Kolkata Knight Riders,2008,,37,,Blank,Blank,Vvs Laxman,Sc Ganguly,Ac Gilchrist,Wp Saha,1971-11-14
12791,,335991,131,Pp Ojha,9/5/1986,Left-hand Bat,Slow Left-arm Orthodox,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,,22,,Blank,Blank,Vvs Laxman,Sc Ganguly,Ac Gilchrist,Wp Saha,1986-09-05
12796,,335991,4,Dj Hussey,7/15/1977,Right-hand Bat,Right-arm Offbreak,Australia,Player,Kolkata Knight Riders,Deccan Chargers,2008,,31,,Blank,Blank,Sc Ganguly,Vvs Laxman,Wp Saha,Ac Gilchrist,1977-07-15
12797,,335991,5,Mohammad Hafeez,10/17/1980,Right-hand Bat,Right-arm Offbreak,Pakistan,Player,Kolkata Knight Riders,Deccan Chargers,2008,,28,,Blank,Blank,Sc Ganguly,Vvs Laxman,Wp Saha,Ac Gilchrist,1980-10-17
12799,,335991,63,Lr Shukla,5/6/1981,Right-hand Bat,Right-arm Medium,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,,27,,Blank,Blank,Sc Ganguly,Vvs Laxman,Wp Saha,Ac Gilchrist,1981-05-06
12801,,335991,83,M Kartik,9/11/1976,Left-hand Bat,Slow Left-arm Orthodox,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,,32,,Blank,Blank,Sc Ganguly,Vvs Laxman,Wp Saha,Ac Gilchrist,1976-09-11
12804,,335992,31,Yk Pathan,11/17/1982,Right-hand Bat,Right-arm Offbreak,India,Player,Rajasthan Royals,Kings Xi Punjab,2008,,26,,Blank,Blank,Sk Warne,Yuvraj Singh,Kamran Akmal,Kc Sangakkara,1982-11-17
12806,,335992,33,M Kaif,12/1/1980,Right-hand Bat,Right-arm Offbreak,India,Player,Rajasthan Royals,Kings Xi Punjab,2008,,28,,Blank,Blank,Sk Warne,Yuvraj Singh,Kamran Akmal,Kc Sangakkara,1980-12-01
12808,,335992,35,Ra Jadeja,12/6/1988,Left-hand Bat,Slow Left-arm Orthodox,India,Player,Rajasthan Royals,Kings Xi Punjab,2008,,20,,Blank,Blank,Sk Warne,Yuvraj Singh,Kamran Akmal,Kc Sangakkara,1988-12-06
12815,,335992,24,K Goel,12/24/1986,Left-hand Bat,Right-arm Offbreak,India,Player,Kings Xi Punjab,Rajasthan Royals,2008,,22,,Blank,Blank,Yuvraj Singh,Sk Warne,Kc Sangakkara,Kamran Akmal,1986-12-24
12817,,335992,26,Kc Sangakkara,10/27/1977,Left-hand Bat,Right-arm Offbreak,Sri Lanka,Keeper,Kings Xi Punjab,Rajasthan Royals,2008,,31,,Blank,Blank,Yuvraj Singh,Sk Warne,Kc Sangakkara,Kamran Akmal,1977-10-27
12821,,335992,65,S Sohal,11/10/1987,Right-hand Bat,Legbreak,India,Player,Kings Xi Punjab,Rajasthan Royals,2008,,21,,Blank,Blank,Yuvraj Singh,Sk Warne,Kc Sangakkara,Kamran Akmal,1987-11-10
12824,,335992,68,Wa Mota,9/20/1981,Right-hand Bat,Right-arm Medium,India,Player,Kings Xi Punjab,Rajasthan Royals,2008,,27,,Blank,Blank,Yuvraj Singh,Sk Warne,Kc Sangakkara,Kamran Akmal,1981-09-20
12827,,335993,54,Y Venugopal Rao,2/26/1982,Right-hand Bat,Right-arm Offbreak,India,Player,Deccan Chargers,Delhi Daredevils,2008,,26,,Blank,Blank,Vvs Laxman,V Sehwag,Ac Gilchrist,Kd Karthik,1982-02-26
12828,,335993,55,Vvs Laxman,11/1/1974,Right-hand Bat,Right-arm Offbreak,India,Captain,Deccan Chargers,Delhi Daredevils,2008,,34,,Blank,Blank,Vvs Laxman,V Sehwag,Ac Gilchrist,Kd Karthik,1974-11-01
12830,,335993,57,Rg Sharma,4/30/1987,Right-hand Bat,Right-arm Offbreak,India,Player,Deccan Chargers,Delhi Daredevils,2008,,21,,Blank,Blank,Vvs Laxman,V Sehwag,Ac Gilchrist,Kd Karthik,1987-04-30
12834,,335993,70,Shahid Afridi,3/1/1980,Right-hand Bat,Legbreak Googly,Pakistan,Player,Deccan Chargers,Delhi Daredevils,2008,,28,,Blank,Blank,Vvs Laxman,V Sehwag,Ac Gilchrist,Kd Karthik,1980-03-01
12836,,335993,232,Ut Yadav,10/25/1987,Right-hand Bat,Right-arm Fast-medium,India,Player,Deccan Chargers,Delhi Daredevils,2008,,21,,Blank,Blank,Vvs Laxman,V Sehwag,Ac Gilchrist,Kd Karthik,1987-10-25
12837,,335993,40,G Gambhir,10/14/1981,Left-hand Bat,Legbreak,India,Player,Delhi Daredevils,Deccan Chargers,2008,,27,,Blank,Blank,V Sehwag,Vvs Laxman,Kd Karthik,Ac Gilchrist,1981-10-14
12839,,335993,42,S Dhawan,12/5/1985,Left-hand Bat,Right-arm Offbreak,India,Player,Delhi Daredevils,Deccan Chargers,2008,,23,,Blank,Blank,V Sehwag,Vvs Laxman,Kd Karthik,Ac Gilchrist,1985-12-05
12841,,335993,87,Mk Tiwary,11/14/1985,Right-hand Bat,Legbreak Googly,India,Player,Delhi Daredevils,Deccan Chargers,2008,,23,,Blank,Blank,V Sehwag,Vvs Laxman,Kd Karthik,Ac Gilchrist,1985-11-14
12849,,335994,44,St Jayasuriya,6/30/1969,Left-hand Bat,Slow Left-arm Orthodox,Sri Lanka,Player,Mumbai Indians,Chennai Super Kings,2008,,39,,Blank,Blank,Harbhajan Singh,Ms Dhoni,L Ronchi,Ms Dhoni,1969-06-30
12850,,335994,46,Rv Uthappa,11/11/1985,Right-hand Bat,Right-arm Medium,India,Player,Mumbai Indians,Chennai Super Kings,2008,,23,,Blank,Blank,Harbhajan Singh,Ms Dhoni,L Ronchi,Ms Dhoni,1985-11-11
12853,,335994,50,Harbhajan Singh,7/3/1980,Right-hand Bat,Right-arm Offbreak,India,Captain,Mumbai Indians,Chennai Super Kings,2008,,28,,Blank,Blank,Harbhajan Singh,Ms Dhoni,L Ronchi,Ms Dhoni,1980-07-03
12854,,335994,71,Dj Bravo,10/7/1983,Right-hand Bat,Right-arm Medium-fast,West Indies,Player,Mumbai Indians,Chennai Super Kings,2008,,25,,Blank,Blank,Harbhajan Singh,Ms Dhoni,L Ronchi,Ms Dhoni,1983-10-07
12857,,335994,80,Ds Kulkarni,12/10/1988,Right-hand Bat,Right-arm Medium,India,Player,Mumbai Indians,Chennai Super Kings,2008,,20,,Blank,Blank,Harbhajan Singh,Ms Dhoni,L Ronchi,Ms Dhoni,1988-12-10
12859,,335994,17,Pa Patel,3/9/1985,Left-hand Bat,N/a,India,Player,Chennai Super Kings,Mumbai Indians,2008,,23,,Blank,Blank,Ms Dhoni,Harbhajan Singh,Ms Dhoni,L Ronchi,1985-03-09
12861,,335994,19,Mek Hussey,5/27/1975,Left-hand Bat,Right-arm Medium,Australia,Player,Chennai Super Kings,Mumbai Indians,2008,,33,,Blank,Blank,Ms Dhoni,Harbhajan Singh,Ms Dhoni,L Ronchi,1975-05-27
12862,,335994,20,Ms Dhoni,7/7/1981,Right-hand Bat,Right-arm Medium,India,Captainkeeper,Chennai Super Kings,Mumbai Indians,2008,,27,,Blank,Blank,Ms Dhoni,Harbhajan Singh,Ms Dhoni,L Ronchi,1981-07-07
12863,,335994,21,Sk Raina,11/27/1986,Left-hand Bat,Right-arm Offbreak,India,Player,Chennai Super Kings,Mumbai Indians,2008,,22,,Blank,Blank,Ms Dhoni,Harbhajan Singh,Ms Dhoni,L Ronchi,1986-11-27
12865,,335994,23,S Badrinath,8/30/1980,Right-hand Bat,Right-arm Offbreak,India,Player,Chennai Super Kings,Mumbai Indians,2008,,28,,Blank,Blank,Ms Dhoni,Harbhajan Singh,Ms Dhoni,L Ronchi,1980-08-30
12867,,335994,120,Ms Gony,1/4/1984,Right-hand Bat,Right-arm Medium,India,Player,Chennai Super Kings,Mumbai Indians,2008,,24,,Blank,Blank,Ms Dhoni,Harbhajan Singh,Ms Dhoni,L Ronchi,1984-01-04
12868,,335994,121,M Muralitharan,4/17/1972,Right-hand Bat,Right-arm Offbreak,Sri Lanka,Player,Chennai Super Kings,Mumbai Indians,2008,,36,,Blank,Blank,Ms Dhoni,Harbhajan Singh,Ms Dhoni,L Ronchi,1972-04-17
12870,,335995,53,Ac Gilchrist,11/14/1971,Left-hand Bat,Right-arm Offbreak,Australia,Keeper,Deccan Chargers,Rajasthan Royals,2008,,37,,Blank,Blank,Vvs Laxman,Sk Warne,Ac Gilchrist,Kamran Akmal,1971-11-14
12871,,335995,55,Vvs Laxman,11/1/1974,Right-hand Bat,Right-arm Offbreak,India,Captain,Deccan Chargers,Rajasthan Royals,2008,,34,,Blank,Blank,Vvs Laxman,Sk Warne,Ac Gilchrist,Kamran Akmal,1974-11-01
12873,,335995,57,Rg Sharma,4/30/1987,Right-hand Bat,Right-arm Offbreak,India,Player,Deccan Chargers,Rajasthan Royals,2008,,21,,Blank,Blank,Vvs Laxman,Sk Warne,Ac Gilchrist,Kamran Akmal,1987-04-30
12875,,335995,60,Wpujc Vaas,1/27/1974,Left-hand Bat,Left-arm Fast-medium,Sri Lanka,Player,Deccan Chargers,Rajasthan Royals,2008,,34,,Blank,Blank,Vvs Laxman,Sk Warne,Ac Gilchrist,Kamran Akmal,1974-01-27
12877,,335995,70,Shahid Afridi,3/1/1980,Right-hand Bat,Legbreak Googly,Pakistan,Player,Deccan Chargers,Rajasthan Royals,2008,,28,,Blank,Blank,Vvs Laxman,Sk Warne,Ac Gilchrist,Kamran Akmal,1980-03-01
12879,,335995,131,Pp Ojha,9/5/1986,Left-hand Bat,Slow Left-arm Orthodox,India,Player,Deccan Chargers,Rajasthan Royals,2008,,22,,Blank,Blank,Vvs Laxman,Sk Warne,Ac Gilchrist,Kamran Akmal,1986-09-05
12880,,335995,232,Ut Yadav,10/25/1987,Right-hand Bat,Right-arm Fast-medium,India,Player,Deccan Chargers,Rajasthan Royals,2008,,21,,Blank,Blank,Vvs Laxman,Sk Warne,Ac Gilchrist,Kamran Akmal,1987-10-25
12881,,335995,31,Yk Pathan,11/17/1982,Right-hand Bat,Right-arm Offbreak,India,Player,Rajasthan Royals,Deccan Chargers,2008,,26,,Blank,Blank,Sk Warne,Vvs Laxman,Kamran Akmal,Ac Gilchrist,1982-11-17
12882,,335995,32,Sr Watson,6/17/1981,Right-hand Bat,Right-arm Fast-medium,Australia,Player,Rajasthan Royals,Deccan Chargers,2008,,27,,Blank,Blank,Sk Warne,Vvs Laxman,Kamran Akmal,Ac Gilchrist,1981-06-17
12885,,335995,37,D Salunkhe,11/12/1982,Right-hand Bat,Legbreak,India,Player,Rajasthan Royals,Deccan Chargers,2008,,26,,Blank,Blank,Sk Warne,Vvs Laxman,Kamran Akmal,Ac Gilchrist,1982-11-12
12888,,335995,69,Kamran Akmal,1/13/1982,Right-hand Bat,N/a,Pakistan,Keeper,Rajasthan Royals,Deccan Chargers,2008,,26,,Blank,Blank,Sk Warne,Vvs Laxman,Kamran Akmal,Ac Gilchrist,1982-01-13
12889,,335995,74,Gc Smith,2/1/1981,Left-hand Bat,Right-arm Offbreak,South Africa,Player,Rajasthan Royals,Deccan Chargers,2008,,27,,Blank,Blank,Sk Warne,Vvs Laxman,Kamran Akmal,Ac Gilchrist,1981-02-01
12893,,335996,26,Kc Sangakkara,10/27/1977,Left-hand Bat,Right-arm Offbreak,Sri Lanka,Keeper,Kings Xi Punjab,Mumbai Indians,2008,,31,,Blank,Blank,Yuvraj Singh,Harbhajan Singh,Kc Sangakkara,L Ronchi,1977-10-27
12894,,335996,27,Yuvraj Singh,12/12/1981,Left-hand Bat,Slow Left-arm Orthodox,India,Captain,Kings Xi Punjab,Mumbai Indians,2008,,27,,Blank,Blank,Yuvraj Singh,Harbhajan Singh,Kc Sangakkara,L Ronchi,1981-12-12
12895,,335996,29,Ik Pathan,10/27/1984,Left-hand Bat,Left-arm Medium-fast,India,Player,Kings Xi Punjab,Mumbai Indians,2008,,24,,Blank,Blank,Yuvraj Singh,Harbhajan Singh,Kc Sangakkara,L Ronchi,1984-10-27
12896,,335996,64,Dpmd Jayawardene,5/27/1977,Right-hand Bat,Right-arm Medium,Sri Lanka,Player,Kings Xi Punjab,Mumbai Indians,2008,,31,,Blank,Blank,Yuvraj Singh,Harbhajan Singh,Kc Sangakkara,L Ronchi,1977-05-27
12903,,335996,43,L Ronchi,4/23/1981,Right-hand Bat,N/a,Australia,Keeper,Mumbai Indians,Kings Xi Punjab,2008,,27,,Blank,Blank,Harbhajan Singh,Yuvraj Singh,L Ronchi,Kc Sangakkara,1981-04-23
12904,,335996,44,St Jayasuriya,6/30/1969,Left-hand Bat,Slow Left-arm Orthodox,Sri Lanka,Player,Mumbai Indians,Kings Xi Punjab,2008,,39,,Blank,Blank,Harbhajan Singh,Yuvraj Singh,L Ronchi,Kc Sangakkara,1969-06-30
12909,,335996,71,Dj Bravo,10/7/1983,Right-hand Bat,Right-arm Medium-fast,West Indies,Player,Mumbai Indians,Kings Xi Punjab,2008,,25,,Blank,Blank,Harbhajan Singh,Yuvraj Singh,L Ronchi,Kc Sangakkara,1983-10-07
12910,,335996,72,Ma Khote,4/22/1980,Right-hand Bat,Right-arm Medium,India,Player,Mumbai Indians,Kings Xi Punjab,2008,,28,,Blank,Blank,Harbhajan Singh,Yuvraj Singh,L Ronchi,Kc Sangakkara,1980-04-22
12913,,335996,80,Ds Kulkarni,12/10/1988,Right-hand Bat,Right-arm Medium,India,Player,Mumbai Indians,Kings Xi Punjab,2008,,20,,Blank,Blank,Harbhajan Singh,Yuvraj Singh,L Ronchi,Kc Sangakkara,1988-12-10
12914,,335997,31,Yk Pathan,11/17/1982,Right-hand Bat,Right-arm Offbreak,India,Player,Rajasthan Royals,Royal Challengers Bangalore,2008,,26,,Blank,Blank,Sk Warne,R Dravid,M Rawat,Mv Boucher,1982-11-17
12917,,335997,35,Ra Jadeja,12/6/1988,Left-hand Bat,Slow Left-arm Orthodox,India,Player,Rajasthan Royals,Royal Challengers Bangalore,2008,,20,,Blank,Blank,Sk Warne,R Dravid,M Rawat,Mv Boucher,1988-12-06
12919,,335997,37,D Salunkhe,11/12/1982,Right-hand Bat,Legbreak,India,Player,Rajasthan Royals,Royal Challengers Bangalore,2008,,26,,Blank,Blank,Sk Warne,R Dravid,M Rawat,Mv Boucher,1982-11-12
12921,,335997,39,Sk Trivedi,9/4/1982,Right-hand Bat,Right-arm Medium,India,Player,Rajasthan Royals,Royal Challengers Bangalore,2008,,26,,Blank,Blank,Sk Warne,R Dravid,M Rawat,Mv Boucher,1982-09-04
12925,,335997,6,R Dravid,1/11/1973,Right-hand Bat,Right-arm Offbreak,India,Captain,Royal Challengers Bangalore,Rajasthan Royals,2008,,35,,Blank,Blank,R Dravid,Sk Warne,Mv Boucher,M Rawat,1973-01-11
12926,,335997,8,V Kohli,11/5/1988,Right-hand Bat,Right-arm Medium,India,Player,Royal Challengers Bangalore,Rajasthan Royals,2008,,20,,Blank,Blank,R Dravid,Sk Warne,Mv Boucher,M Rawat,1988-11-05
12929,,335997,14,P Kumar,10/2/1986,Right-hand Bat,Right-arm Medium,India,Player,Royal Challengers Bangalore,Rajasthan Royals,2008,,22,,Blank,Blank,R Dravid,Sk Warne,Mv Boucher,M Rawat,1986-10-02
12934,,335997,81,R Vinay Kumar,2/12/1984,Right-hand Bat,Right-arm Medium,India,Player,Royal Challengers Bangalore,Rajasthan Royals,2008,,24,,Blank,Blank,R Dravid,Sk Warne,Mv Boucher,M Rawat,1984-02-12
12935,,335997,124,A Kumble,10/17/1970,Right-hand Bat,Legbreak Googly,India,Player,Royal Challengers Bangalore,Rajasthan Royals,2008,,38,,Blank,Blank,R Dravid,Sk Warne,Mv Boucher,M Rawat,1970-10-17
12936,,335998,1,Sc Ganguly,7/8/1972,Left-hand Bat,Right-arm Medium,India,Captain,Kolkata Knight Riders,Chennai Super Kings,2008,,36,,Blank,Blank,Sc Ganguly,Ms Dhoni,Bb Mccullum,Ms Dhoni,1972-07-08
12937,,335998,2,Bb Mccullum,9/27/1981,Right-hand Bat,Right-arm Medium,New Zealand,Keeper,Kolkata Knight Riders,Chennai Super Kings,2008,,27,,Blank,Blank,Sc Ganguly,Ms Dhoni,Bb Mccullum,Ms Dhoni,1981-09-27
12940,,335998,5,Mohammad Hafeez,10/17/1980,Right-hand Bat,Right-arm Offbreak,Pakistan,Player,Kolkata Knight Riders,Chennai Super Kings,2008,,28,,Blank,Blank,Sc Ganguly,Ms Dhoni,Bb Mccullum,Ms Dhoni,1980-10-17
12943,,335998,82,Ab Agarkar,12/4/1977,Right-hand Bat,Right-arm Fast,India,Player,Kolkata Knight Riders,Chennai Super Kings,2008,,31,,Blank,Blank,Sc Ganguly,Ms Dhoni,Bb Mccullum,Ms Dhoni,1977-12-04
12946,,335998,106,Ab Dinda,3/25/1984,Right-hand Bat,Right-arm Medium-fast,India,Player,Kolkata Knight Riders,Chennai Super Kings,2008,,24,,Blank,Blank,Sc Ganguly,Ms Dhoni,Bb Mccullum,Ms Dhoni,1984-03-25
12948,,335998,18,Ml Hayden,10/29/1971,Left-hand Bat,Right-arm Medium,Australia,Player,Chennai Super Kings,Kolkata Knight Riders,2008,,37,,Blank,Blank,Ms Dhoni,Sc Ganguly,Ms Dhoni,Bb Mccullum,1971-10-29
12951,,335998,21,Sk Raina,11/27/1986,Left-hand Bat,Right-arm Offbreak,India,Player,Chennai Super Kings,Kolkata Knight Riders,2008,,22,,Blank,Blank,Ms Dhoni,Sc Ganguly,Ms Dhoni,Bb Mccullum,1986-11-27
