player_sk,player_id,player_name,dob,batting_hand,bowling_skill,country_name,dob_cleaned
353,354,Kl Rahul,,Right-hand Bat,N/a,India,
354,355,Q De Kock,,Left-hand Bat,N/a,South Africa,
355,356,R Dhawan,,Right-hand Bat,Right-arm Medium-fast,India,
356,357,Mg Johnson,,Left-hand Bat,Left-arm Fast,Australia,
357,358,Lj Wright,,Right-hand Bat,Right-arm Medium-fast,England,
358,359,Ic Pandey,,Right-hand Bat,Right-arm Medium,India,
359,360,Cm Gautam,,Right-hand Bat,N/a,India,
360,361,X Thalaivan Sargunam,,Right-hand Bat,Right-arm Offbreak,India,
361,362,Djg Sammy,,Right-hand Bat,Right-arm Medium-fast,West Indies,
362,363,Kw Richardson,,Right-hand Bat,Right-arm Fast-medium,Australia,
363,364,Mm Sharma,,Right-hand Bat,Right-arm Medium,India,
364,365,Ua Birla,,Right-hand Bat,Right-arm Medium,India,
365,366,Parvez Rasool,,Right-hand Bat,Right-arm Offbreak,India,
366,367,Sandeep Sharma,,Right-hand Bat,Right-arm Medium,India,
367,368,S Kaul,,Right-hand Bat,Right-arm Medium,India,
368,369,Sachin Baby,,Left-hand Bat,Right-arm Offbreak,India,
369,370,Pv Tambe,,Right-hand Bat,Legbreak,India,
370,371,Nm Coulter-nile,,Right-hand Bat,Right-arm Fast,Australia,
371,372,Cj Anderson,,Left-hand Bat,Left-arm Medium-fast,New Zealand,
372,373,Nj Maddinson,,Left-hand Bat,Slow Left-arm Orthodox,Australia,
373,374,Ar Patel,,Left-hand Bat,Slow Left-arm Orthodox,India,
374,375,Jj Bumrah,,Right-hand Bat,Right-arm Medium,India,
375,376,Jds Neesham,,Left-hand Bat,Right-arm Medium,New Zealand,
376,377,Tg Southee,,Right-hand Bat,Right-arm Medium-fast,New Zealand,
377,378,Ma Starc,,Left-hand Bat,Left-arm Fast,Australia,
378,379,Br Dunk,,Left-hand Bat,N/a,Australia,
379,380,Rr Rossouw,,Left-hand Bat,Right-arm Offbreak,South Africa,
380,381,Shivam Sharma,,Right-hand Bat,Right-arm Offbreak,India,
381,382,Ys Chahal,,Right-hand Bat,Legbreak Googly,India,
382,383,Lmp Simmons,,Right-hand Bat,Right-arm Medium-fast,West Indies,
383,384,Vh Zol,,Left-hand Bat,Right-arm Offbreak,India,
384,385,Bcj Cutting,,Right-hand Bat,Right-arm Fast-medium,Australia,
385,386,Imran Tahir,,Right-hand Bat,Legbreak Googly,India,
386,387,Be Hendricks,,Left-hand Bat,Left-arm Fast-medium,South Africa,
387,388,S Gopal,,Right-hand Bat,Legbreak,India,
388,389,M De Lange,,Right-hand Bat,Right-arm Fast,South Africa,
389,390,R Tewatia,,Left-hand Bat,Legbreak,India,
390,391,Jo Holder,,Right-hand Bat,Right-arm Medium-fast,West Indies,
391,392,Karanveer Singh,,Right-hand Bat,Legbreak Googly,India,
392,393,Ss Iyer,,Right-hand Bat,Legbreak Googly,India,
393,394,Dj Hooda,,Right-hand Bat,Right-arm Offbreak,India,
394,395,Anureet Singh,,Right-hand Bat,Right-arm Medium,India,
395,396,Ks Williamson,,Right-hand Bat,Right-arm Offbreak,New Zealand,
396,397,Sa Abbott,,Right-hand Bat,Right-arm Fast-medium,New Zealand,
397,398,J Suchith,,Left-hand Bat,Slow Left-arm Orthodox,India,
398,399,Rg More,,Right-hand Bat,Right-arm Medium,India,
399,400,Hh Pandya,,Right-hand Bat,Right-arm Medium-fast,India,
400,401,D Wiese,,Right-hand Bat,Right-arm Medium-fast,South Africa,
401,402,Sn Khan,,Right-hand Bat,Legbreak,India,
402,403,Mj Mcclenaghan,,Left-hand Bat,Left-arm Fast-medium,New Zealand,
403,404,Dj Muthuswami,,Right-hand Bat,Right-arm Medium,India,
404,405,Pj Cummins,,Right-hand Bat,Right-arm Fast,Australia,
405,406,Sn Thakur,,Right-hand Bat,Right-arm Medium,India,
406,407,Jc Buttler,,Right-hand Bat,N/a,England,
407,408,Cr Brathwaite,,Right-hand Bat,Right-arm Fast-medium,West Indies,
408,409,Mp Stoinis,,Right-hand Bat,Right-arm Medium,Australia,
409,410,Ishan Kishan,,Left-hand Bat,N/a,India,
410,411,C Munro,,Left-hand Bat,Right-arm Medium-fast,New Zealand,
411,412,P Sahu,,Right-hand Bat,Legbreak Googly,India,
412,413,Kh Pandya,,Left-hand Bat,Slow Left-arm Orthodox,India,
413,414,Ad Nath,,Right-hand Bat,Right-arm Medium-fast,India,
414,415,Mj Guptill,,Right-hand Bat,Right-arm Offbreak,New Zealand,
415,416,Kj Abbott,,Right-hand Bat,Right-arm Fast-medium,South Africa,
416,417,Tm Head,,Left-hand Bat,Right-arm Offbreak,Australia,
417,418,M Ashwin,,Right-hand Bat,Legbreak Googly,India,
418,419,Ns Naik,,Right-hand Bat,N/a,India,
419,420,Rr Pant,,Left-hand Bat,N/a,India,
420,421,Sw Billings,,Right-hand Bat,N/a,England,
421,422,Kc Cariappa,,Right-hand Bat,Legbreak,India,
422,423,Psp Handscomb,,Right-hand Bat,N/a,Australia,
423,424,Swapnil Singh,,Right-hand Bat,Slow Left-arm Orthodox,India,
424,425,J Yadav,,Right-hand Bat,Right-arm Offbreak,India,
425,426,Ut Khawaja,,Left-hand Bat,Right-arm Medium,Australia,
426,427,Hm Amla,,Right-hand Bat,Right-arm Offbreak,South Africa,
427,428,F Behardien,,Right-hand Bat,Right-arm Fast-medium,South Africa,
428,429,Bb Sran,,Left-hand Bat,Left-arm Medium,India,
429,430,A Zampa,,Right-hand Bat,Legbreak Googly,Australia,
430,431,N Rana,,Left-hand Bat,Right-arm Offbreak,India,
431,432,S Kaushik,,Right-hand Bat,Slow Left-arm Chinaman,India,
432,433,Er Dwivedi,,Right-hand Bat,N/a,India,
433,434,Cj Jordan,,Right-hand Bat,Right-arm Fast-medium,England,
434,435,P Amarnath,,Right-hand Bat,Right-arm Medium,India,
435,436,B Geeves,,Right-hand Bat,Right-arm Fast-medium,Australia,
436,437,Gagandeep Singh,,Right-hand Bat,Right-arm Medium-fast,India,
437,438,A Nel,,Right-hand Bat,Right-arm Fast-medium,South Africa,
438,439,Am Salvi,,Right-hand Bat,Right-arm Medium,India,
439,440,Rr Bose,,Right-hand Bat,Right-arm Fast-medium,India,
440,441,Ss Sarkar,,Right-hand Bat,Right-arm Medium,India,
441,442,Ra Shaikh,,Left-hand Bat,Left-arm Medium,India,
442,443,C Ganapathy,,Right-hand Bat,Right-arm Medium,India,
443,444,Mb Parmar,,Right-hand Bat,Right-arm Offbreak,India,
444,445,Aa Kazi,,Left-hand Bat,Slow Left-arm Orthodox,India,
445,446,Anand Rajan,,Right-hand Bat,Right-arm Medium,India,
446,447,P Prasanth,,Left-hand Bat,Slow Left-arm Orthodox,India,
447,448,Ss Mundhe,,Right-hand Bat,Right-arm Medium,India,
448,449,Rw Price,,Right-hand Bat,Slow Left-arm Orthodox,Zimbabwea,
449,450,Tp Sudhindra,,Left-hand Bat,Right-arm Fast,India,
450,451,Bw Hilfenhaus,,Right-hand Bat,Right-arm Fast-medium,Australia,
451,452,S Badree,,Right-hand Bat,Legbreak,West Indies,
452,453,P Suyal,,Right-hand Bat,Left-arm Medium,India,
453,454,Mg Neser,,Right-hand Bat,Right-arm Medium,Australia,
454,455,V Shankar,,Right-hand Bat,Right-arm Medium,India,
455,456,K Santokie,,Left-hand Bat,Left-arm Medium,West Indies,
456,457,Jw Hastings,,Right-hand Bat,Right-arm Fast-medium,Australia,
457,458,Ta Boult,,Right-hand Bat,Left-arm Fast-medium,New Zealand,
458,459,Gs Sandhu,,Left-hand Bat,Right-arm Fast-medium,Australia,
459,460,Mustafizur Rahman,,Left-hand Bat,Left-arm Fast-medium,Bangladesh,
460,461,Af Milne,,Right-hand Bat,Right-arm Fast,New Zealand,
461,462,Kuldeep Yadav,,Left-hand Bat,Slow Left-arm Chinaman,India,
462,463,T Shamsi,,Right-hand Bat,Slow Left-arm Chinaman,South Africa,
463,464,Sm Boland,,Right-hand Bat,Right-arm Fast-medium,Australia,
464,465,Dl Chahar,,Right-hand Bat,Right-arm Medium,India,
465,466,P Dharmani,,Right-hand Bat,N/a,India,
466,467,Rv Pawar,,Left-hand Bat,Slow Left-arm Orthodox,India,
467,468,Kh Devdhar,,Right-hand Bat,N/a,India,
468,469,T Mishra,,Right-hand Bat,Right-arm Fast-medium,India,
469,470,A Choudhary,,Right-hand Bat,Left-arm Medium,India,
470,471,Aj Tye,,Right-handed,Right-arm Medium Fast,Australia,
471,472,Ankit Soni,,�right-hand Bat,�legbreak,India,
472,473,Ar Bawne,,�right-hand Bat,Right-arm Offbreak,India,
473,474,Avesh Khan,,Right-hand Bat,Right-arm Medium-fast,India,
474,475,B Stanlake,,Left-hand Bat,Right-arm Fast,Australia,
475,476,Ba Stokes,,Left-hand Bat,Right-arm Fast-medium,England,
476,477,Basil Thampi,,Right-hand Bat,�right-arm Fast-medium,India,
477,478,C De Grandhomme,,Right-hand Bat,Right-arm Fast-medium,New Zealand,
478,479,Cr Woakes,,�right-hand Bat,Right-arm Fast-medium,England,
479,480,Dm Bravo,,�left-hand Bat,Right-arm Medium-fast,West Indies,
480,481,Jj Roy,,�right-hand Bat,Null,England,
481,482,K Rabada,,�left-hand Bat,Right-arm Fast,South Africa,
482,483,Lh Ferguson,,Right-hand Bat,Right-arm Fast,New Zealand,
483,484,Mj Henry,,�right-hand Bat,Right-arm Fast-medium,New Zealand,
484,485,Mohammad Nabi,,�right-hand Bat,Right-arm Offbreak,Afghanistan,
485,486,Mohammed Siraj,,Right-hand Bat,�right-arm Medium-fast,India,
486,487,Nb Singh,,Right-hand Bat,Right-arm Medium,India,
487,488,Ra Tripathi,,�right-hand Bat,Right-arm Medium,India,
488,489,Rashid Khan,,Right-hand Bat,Legbreak Googly,Afghanistan,
489,490,Rd Chahar,,Right-hand Bat,Legbreak Googly,India,
490,491,Sp Jackson,,Right-hand Bat,Null,India,
491,492,Ss Agarwal,,Right-hand Bat,Legbreak Googly,India,
492,493,T Natarajan,,Left-hand Bat,Left-arm Medium,India,
493,494,Tejas Baroka,,Right-hand Bat,Legbreak Googly,India,
494,495,Ts Mills,,Right-hand Bat,�left-arm Fast,England,
495,496,Vishnu Vinod,,Right-hand Bat,Null,India,
496,497,Washington Sundar,,�left-hand Bat,�right-arm Offbreak,India,
